#Fpt,#Exit point (0:hya and 1:ilm)
78.92,0.0
74.45,1.0
38.0,1.0
39.72,1.0
124.49,0.0
35.92,1.0
19.59,1.0
60.76,0.0
55.31,1.0
54.23,1.0
78.94,1.0
48.84,1.0
25.64,1.0
24.97,1.0
18.4,0.0
18.27,1.0
143.66,1.0
39.48,1.0
72.53,1.0
65.81,1.0
86.41,1.0
63.38,1.0
55.64,1.0
23.44,0.0
168.95,0.0
41.21,1.0
51.34,0.0
99.59,1.0
12.35,1.0
35.79,1.0
83.87,1.0
23.07,1.0
124.81,1.0
14.34,1.0
55.33,1.0
32.52,0.0
40.21,1.0
42.6,1.0
148.49,1.0
23.84,1.0
35.63,0.0
68.87,1.0
39.25,1.0
35.15,1.0
14.74,0.0
31.95,1.0
30.29,1.0
50.86,0.0
26.54,0.0
67.38,1.0
74.81,1.0
13.85,1.0
75.17,1.0
43.51,1.0
104.34,1.0
62.23,1.0
22.56,1.0
49.03,1.0
24.52,1.0
32.87,1.0
32.03,1.0
35.38,1.0
54.38,1.0
43.45,1.0
48.51,1.0
13.37,1.0
57.43,1.0
27.52,0.0
89.76,1.0
12.91,1.0
22.31,0.0
38.29,1.0
42.27,1.0
17.63,0.0
14.97,1.0
55.28,1.0
41.75,1.0
48.89,1.0
49.99,1.0
52.81,1.0
102.44,1.0
33.82,1.0
52.41,1.0
32.93,0.0
81.01,1.0
92.15,1.0
23.79,1.0
148.38,1.0
13.14,1.0
28.81,1.0
37.96,1.0
90.57,0.0
29.5,1.0
28.32,1.0
39.8,1.0
51.79,1.0
30.11,1.0
38.92,1.0
30.05,1.0
34.25,1.0
54.2,1.0
56.35,1.0
27.36,1.0
22.83,1.0
32.02,1.0
110.5,0.0
42.48,1.0
31.49,0.0
49.14,1.0
26.42,1.0
67.21,1.0
48.24,1.0
48.45,0.0
41.55,1.0
17.81,1.0
47.45,0.0
17.45,1.0
44.79,0.0
21.82,1.0
55.32,0.0
94.54,0.0
45.75,1.0
25.9,1.0
57.71,1.0
138.89,0.0
15.21,0.0
31.35,1.0
46.96,1.0
25.62,1.0
13.22,0.0
71.88,1.0
59.28,1.0
47.97,1.0
32.6,1.0
28.69,1.0
21.13,0.0
44.53,0.0
97.2,1.0
57.3,0.0
38.74,0.0
58.31,1.0
15.58,0.0
35.04,1.0
36.84,0.0
103.11,1.0
72.46,0.0
45.56,1.0
23.74,1.0
48.87,0.0
71.3,1.0
11.68,1.0
20.86,0.0
30.49,1.0
32.52,0.0
20.7,0.0
77.5,1.0
139.66,1.0
34.66,1.0
54.7,1.0
70.57,1.0
34.5,1.0
28.44,0.0
36.92,1.0
64.47,1.0
67.71,1.0
12.93,1.0
50.74,1.0
29.95,1.0
50.53,0.0
27.21,1.0
32.74,1.0
66.55,1.0
54.37,1.0
15.1,1.0
40.11,1.0
30.42,0.0
59.62,1.0
24.52,0.0
40.94,1.0
57.69,0.0
24.03,1.0
102.52,1.0
95.73,1.0
82.6,1.0
47.48,1.0
57.36,0.0
23.59,0.0
78.71,1.0
19.84,1.0
23.1,1.0
21.95,1.0
35.09,0.0
80.43,1.0
32.74,1.0
114.69,1.0
22.1,1.0
22.05,1.0
51.74,1.0
